t,bbr,C_1111,C_1112,C_1122,C_1222,C_2222,C_1212,eps_1_xx,eps_1_xy,eps_1_yx,eps_1_yy,sig_1_xx,sig_1_xy,sig_1_yx,sig_1_yy,eps_2_xx,eps_2_xy,eps_2_yx,eps_2_yy,sig_2_xx,sig_2_xy,sig_2_yx,sig_2_yy,eps_3_xx,eps_3_xy,eps_3_yx,eps_3_yy,sig_3_xx,sig_3_xy,sig_3_yx,sig_3_yy
0,0.0,49886712957.40695,42861591.79187311,10111583576.473991,-43271520.16114786,49887354450.77669,18973766684.81678,9.999524341941476e-09,-1.3113964889121617e-13,-3.171218094979076e-13,5.973388684339512e-14,498.8449122457562,0.3945995448127758,0.4102977824057893,101.12164533527849,1.530234440964347e-13,1.208815034343755e-12,6.077799393654868e-13,9.999278987486558e-09,101.10860824490013,-0.362891710276956,-0.3785924107370039,498.8381462348222,-8.845307892901055e-13,9.999660096202651e-09,9.999980808340871e-09,7.92904009109528e-13,0.7742404752997242,379.4648062663698,379.4720509626525,-0.7799554684624928
1,0.0,49886712957.40695,42861591.79187311,10111583576.473991,-43271520.16114786,49887354450.77669,18973766684.81678,9.999524341941476e-09,-1.3113964889121617e-13,-3.171218094979076e-13,5.973388684339512e-14,498.8449122457562,0.3945995448127758,0.4102977824057893,101.12164533527849,1.530234440964347e-13,1.208815034343755e-12,6.077799393654868e-13,9.999278987486558e-09,101.10860824490013,-0.362891710276956,-0.3785924107370039,498.8381462348222,-8.845307892901055e-13,9.999660096202651e-09,9.999980808340871e-09,7.92904009109528e-13,0.7742404752997242,379.4648062663698,379.4720509626525,-0.7799554684624928
2,0.0,49886712957.40695,42861591.79187311,10111583576.473991,-43271520.16114786,49887354450.77669,18973766684.81678,9.999524341941476e-09,-1.3113964889121617e-13,-3.171218094979076e-13,5.973388684339512e-14,498.8449122457562,0.3945995448127758,0.4102977824057893,101.12164533527849,1.530234440964347e-13,1.208815034343755e-12,6.077799393654868e-13,9.999278987486558e-09,101.10860824490013,-0.362891710276956,-0.3785924107370039,498.8381462348222,-8.845307892901055e-13,9.999660096202651e-09,9.999980808340871e-09,7.92904009109528e-13,0.7742404752997242,379.4648062663698,379.4720509626525,-0.7799554684624928
3,0.0,49886712957.40695,42861591.79187311,10111583576.473991,-43271520.16114786,49887354450.77669,18973766684.81678,9.999524341941476e-09,-1.3113964889121617e-13,-3.171218094979076e-13,5.973388684339512e-14,498.8449122457562,0.3945995448127758,0.4102977824057893,101.12164533527849,1.530234440964347e-13,1.208815034343755e-12,6.077799393654868e-13,9.999278987486558e-09,101.10860824490013,-0.362891710276956,-0.3785924107370039,498.8381462348222,-8.845307892901055e-13,9.999660096202651e-09,9.999980808340871e-09,7.92904009109528e-13,0.7742404752997242,379.4648062663698,379.4720509626525,-0.7799554684624928
4,0.0,49886712957.40695,42861591.79187311,10111583576.473991,-43271520.16114786,49887354450.77669,18973766684.81678,9.999524341941476e-09,-1.3113964889121617e-13,-3.171218094979076e-13,5.973388684339512e-14,498.8449122457562,0.3945995448127758,0.4102977824057893,101.12164533527849,1.530234440964347e-13,1.208815034343755e-12,6.077799393654868e-13,9.999278987486558e-09,101.10860824490013,-0.362891710276956,-0.3785924107370039,498.8381462348222,-8.845307892901055e-13,9.999660096202651e-09,9.999980808340871e-09,7.92904009109528e-13,0.7742404752997242,379.4648062663698,379.4720509626525,-0.7799554684624928
5,0.0005,49883401859.76499,42799078.92993143,10112488079.859137,-42341610.13836974,49884390407.24408,18973497230.15948,9.999625314700624e-09,-2.4964364581523413e-13,-4.515286055740969e-13,1.7722043743380697e-13,498.8087652715972,0.3859434852686304,0.4016379129786203,101.1282433434977,-6.446084142981718e-13,1.5057948807402174e-12,1.1624071787491178e-13,9.99939735101702e-09,101.08840628754596,-0.366409680586423,-0.3821156560805112,498.8155907189131,-1.094504560873012e-12,1.0000023095674564e-08,1.0000108184776889e-08,1.0386353709354864e-12,0.7659530109656514,379.4687229512133,379.475963774766,-0.7469549714387166
6,0.0029,49802068893.01133,47293584.78358478,10117423183.01036,-44163750.5364165,49884047872.00131,18966657185.46245,1.0000141038779956e-08,-1.173830164769747e-13,-2.64116043155986e-13,-4.700519318189189e-14,498.0284844626608,0.4341143933791861,0.4497790713888301,101.17990592982112,7.931402491551136e-14,4.2937323603707653e-13,-8.584846388217783e-13,9.999668980180669e-09,101.16832230304357,-0.4133339818873979,-0.4290372763077492,498.8234512111309,-6.841715788888416e-13,1.0000104095263794e-08,1.000078785254094e-08,9.639851478907117e-13,0.8581202682242911,379.346453969975,379.3536703292208,-0.8040138528491931
7,0.0162,49287877690.04905,79406876.40444401,10115578365.63742,-42724787.90367825,49856255135.82134,18915281219.47945,1.00002605471345e-08,-3.9318804231000073e-13,-1.4724021093992086e-13,-1.32985218666976e-13,492.8733220817472,0.7307125094933486,0.7586359377884521,101.17074974230547,-1.8067366627665385e-12,1.6984294009395157e-12,-2.304169730573552e-13,9.999465316567443e-09,101.04148178557266,-0.362428138220093,-0.3774077757167826,498.5345154524424,-2.0775418945276612e-13,9.999442308029657e-09,1.0000450558755848e-08,8.352779883061625e-13,1.4877208602800158,378.2994121156085,378.3075848137066,-0.7730350420301974
8,0.0457,47982973843.93021,49260385.070073865,10060494965.639164,-38490778.75193589,49800821460.95368,18733510384.24379,1.0000210269860332e-08,-5.078365675727225e-13,1.7518148127255477e-13,-5.136021783595995e-13,479.8384702059797,0.4430518234096293,0.4702998247215084,100.58459331413528,-1.3412401519023817e-13,-1.0054458486656276e-12,-3.549626018171155e-13,9.999082346969944e-09,100.58696130785192,-0.3968028131096776,-0.4116467030966565,497.9572773473373,-1.7121205062667533e-13,1.0000813862104057e-08,9.999790050459994e-09,1.925460506416099e-12,0.9154217455182324,374.678037387622,374.6850720741493,-0.6478578467393713
9,0.0747,46884467946.38838,10332567.695341108,10008495672.446669,-53230046.50741908,49746053427.59536,18576266490.997704,1.0000038561066633e-08,-5.074097379327781e-13,-1.1335292236119905e-13,-5.803550547755055e-13,468.85857156148666,0.0810356847504968,0.1085068375237551,100.05113953641344,1.2082038829645245e-12,4.607047874339442e-13,-1.28535297371886e-13,9.998987108894921e-09,100.14196538327542,-0.4758183482277615,-0.4907963300678708,497.4042891738333,-7.938189349660036e-13,1.0000697447700302e-08,9.999990389137038e-09,1.0132186762840885e-12,0.1549772801394533,371.5349172842868,371.5412519917852,-0.9793908624352962
